"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"peer_sel","~","comp","a1",0.40256225745727,0.237711531105421,1.69349065897329,0.0903621113962816,-0.0420800098072801,0.880592704790569
"peer_sel","~","supp","a2",0.300591732307806,0.256897293877561,1.17008524212431,0.241966666812988,-0.21211263821063,0.785120507105881
"peer_sel","~","ics_c","",0.321678925099652,0.109138904793505,2.94742672842724,0.00320430680025185,0.108626917114449,0.542155056252655
"peer_sel","~","relstat_p","",-0.0676816945264894,0.220577170015723,-0.306839073697722,0.758965865400601,-0.492234668625768,0.371256718548048
"peer_sel","~","relstat_o","",-0.692452437245141,0.345603721349646,-2.00360237598423,0.0451126711453365,-1.31572521994474,0.0633754247903225
"self_perc","~","peer_sel","b",-0.109638788772878,0.0859793159304074,-1.27517633266146,0.202246836325632,-0.290760540527721,0.0441298641835893
"self_perc","~","comp","c1",-0.231035535110366,0.183658114617314,-1.2579652992288,0.208404306119361,-0.571130880620596,0.147579651773259
"self_perc","~","supp","c2",0.154566233638139,0.231803608647967,0.666798220009049,0.504901029873931,-0.297010773671776,0.627808462523765
"self_perc","~","ics_c","",0.385558638714007,0.133330212963331,2.89175746550442,0.00383093557068648,0.0997566383948071,0.606890624936864
"self_perc","~","mvs_pre_c","",0.478594614078436,0.0856742632363525,5.58621219488192,2.32075647588204e-08,0.308596734851234,0.646926123648289
"self_perc","~","relstat_p","",1.11160490987888,0.17924756629353,6.20150629023633,5.59252866239035e-10,0.773336149003433,1.4779358515504
"self_perc","~","relstat_o","",0.396115466670127,0.429496635658292,0.922278392386003,0.356383381794627,-0.352059875990997,1.32717338973786
"ind_comp",":=","a1*b","ind_comp",-0.0441364383132906,0.0429445832974217,-1.02775332589944,0.304065876568526,-0.186644697233029,0.00742538658596922
"ind_supp",":=","a2*b","ind_supp",-0.0329565134453691,0.0449485214720449,-0.733205728821714,0.463432961784037,-0.181750543523627,0.0136400469334043
