"Category","Subcategory","n","pct"
"Age","18-24",89,61
"Age","25-29",40,27.4
"Age","30-35",17,11.6
"Relationship status","Single, not dating",60,41.1
"Relationship status","Single, casually dating",27,18.5
"Relationship status","Committed relationship",48,32.9
"Relationship status","Engaged/married",5,3.4
"Relationship status","Other",6,4.1
"Ethnicity","White",68,46.6
"Ethnicity","Black/African/Caribbean",16,11
"Ethnicity","Asian/Asian British",18,12.3
"Ethnicity","Arab/Berber/North African",20,13.7
"Ethnicity","Mixed/Multiple",17,11.6
"Ethnicity","Other",7,4.8
"Ethnicity","Prefer not to say",0,0
"Education","Secondary/GCSEs",5,3.4
"Education","Sixth Form/A-Levels",10,6.8
"Education","Undergraduate",69,47.3
"Education","Postgraduate",56,38.4
"Education","Other",6,4.1
"Discusses dating with friends","Never",3,2.1
"Discusses dating with friends","Rarely",6,4.1
"Discusses dating with friends","Sometimes",46,31.5
"Discusses dating with friends","Often",63,43.2
"Discusses dating with friends","Very often",28,19.2
