"Category","Subcategory","n","pct"
"Age","18–24",89,61
"","25–29",40,27.4
"","30–35",17,11.6
"Relationship status","Single, not dating",60,41.1
"","Single, casually dating",27,18.5
"","Committed relationship",48,32.9
"","Engaged or married",5,3.4
"","Other",6,4.1
"Ethnicity","White",68,46.6
"","Black/African/Caribbean",16,11
"","Asian/Asian British",18,12.3
"","Arab/Berber/North African",20,13.7
"","Mixed or multiple",17,11.6
"","Other",7,4.8
"","Prefer not to say",0,0
"Highest education completed","Secondary school/GCSEs",5,3.4
"","Sixth form/A-Levels",10,6.8
"","Undergraduate degree",69,47.3
"","Postgraduate degree",56,38.4
"","Other",6,4.1
"Discusses dating with close female friends","Never",3,2.1
"","Rarely",6,4.1
"","Sometimes",46,31.5
"","Often",63,43.2
"","Very often",28,19.2
