"Outcome","Predictor","Label","b","SE","z","p","CI_low","CI_high"
"peer_sel","comp","a1",0.403,0.238,1.69,0.09,-0.042,0.881
"peer_sel","supp","a2",0.301,0.257,1.17,0.242,-0.212,0.785
"peer_sel","ics_c","",0.322,0.109,2.95,0.003,0.109,0.542
"peer_sel","relstat_p","",-0.068,0.221,-0.31,0.759,-0.492,0.371
"peer_sel","relstat_o","",-0.692,0.346,-2,0.045,-1.316,0.063
"self_perc","peer_sel","b",-0.11,0.086,-1.28,0.202,-0.291,0.044
"self_perc","comp","c1",-0.231,0.184,-1.26,0.208,-0.571,0.148
"self_perc","supp","c2",0.155,0.232,0.67,0.505,-0.297,0.628
"self_perc","ics_c","",0.386,0.133,2.89,0.004,0.1,0.607
"self_perc","mvs_pre_c","",0.479,0.086,5.59,0,0.309,0.647
"self_perc","relstat_p","",1.112,0.179,6.2,0,0.773,1.478
"self_perc","relstat_o","",0.396,0.429,0.92,0.356,-0.352,1.327
"ind_comp","a1*b","ind_comp",-0.044,0.043,-1.03,0.304,-0.187,0.007
"ind_supp","a2*b","ind_supp",-0.033,0.045,-0.73,0.463,-0.182,0.014
